codes,labels
NO_0NOHFT ,Hammerfest
NO_0NOHOL ,Holmestrand
NO_0NOHRD ,Harstad
NO_0NOHVG ,Honningsvåg
NO_0NOKAS ,Karmsund
NO_0NOKKN ,Kirkenes
NO_0NOKRA ,Kragerø
NO_0NOKRS ,Kristiansand S
NO_0NOKSU ,Kristiansund N/Grip
NO_0NOKVD ,Kvinesdal
NO_0NOLAR ,Larvik
NO_0NOLIL ,Lillesand
NO_0NOLOD ,Lødingen
NO_0NOLOP ,Loppa
NO_0NOLUS ,Luster
NO_0NOMAN ,Mandal
NO_0NOMAY ,Måløy
NO_0NOMJF ,Mosjøen
NO_0NOMOD ,Modalen
NO_0NOMOL ,Molde
NO_0NOMQN ,Mo i Rana
NO_0NOMSS ,Moss
NO_0NOMSY ,Måsøy
NO_0NOMYO ,Øksnes/Myre
NO_0NONVK ,Narvik
NO_0NOOLN ,Ølen
NO_0NOOSL ,Oslo
NO_0NOOSY ,Namsos
NO_0NORNA ,Rana
NO_0NOSAS ,Sandnes
NO_0NOSAU ,Sauda
NO_0NOSKY ,Skjervøy
NO_0NOSLX ,Sortland
NO_0NOSRP ,Stord
NO_0NOSSJ ,Sandnessjøen
NO_0NOSVE ,Svelgen
NO_0NOSVG ,Stavanger
NO_0NOTON ,Tønsberg
NO_0NOTOS ,Tromsø
NO_0NOTRD ,Trondheim/Flakk
NO_0NOTRF ,Sandefjord
NO_0NOVAO ,Vardø
NO_0NOVDS ,Vadsø
NO_0NOVER ,Verdal
NO_0NOVGN ,Vågan/Kabelvåg
NO_0NOVKN ,Vikna
NO_0SJLYR ,Longyearbyen
NO_0SJSVE ,Sveagruva (Svalbard)
PL_0PLGDN ,Gdansk
PL_0PLGDY ,Gdynia
PL_0PLPLC ,Police
PL_0PLSWI ,Swinoujscie
PL_0PLSZZ ,Szczecin 
SE_1 ,Sweden: Baltic Sea
SE_1SEAHU ,Åhus
SE_1SEBER ,Bergs Oljehamn
SE_1SEELL ,Elleholm
SE_1SEGRH ,Grisslehamn
SE_1SEGVX ,Gävle
SE_1SEHAN ,Hargshamn
SE_1SEHEL ,Helsingborg
SE_1SEHUS ,Husum
SE_1SEIGG ,Iggesund
SE_1SEJAT ,Jätterssön
SE_1SEKAA ,Karlskrona
SE_1SEKAN ,Karlshamn
SE_1SEKLI ,Klintehamn
SE_1SEKLR ,Kalmar
SE_1SEKOG ,Köping
SE_1SEKPH ,Kappelshamn
SE_1SEKPS ,Kappelskär
SE_1SELAA ,Landskrona
SE_1SELLA ,Luleå
SE_1SEMMA ,Malmö
SE_1SENOE ,Norrtälje
SE_1SENOT ,Norrsundet
SE_1SENRK ,Norrköping
SE_1SENYN ,Nynäshamn (ports)
SE_1SEOER ,Örnsköldsvik
SE_1SEOSK ,Oskarshamn
SE_1SEOXE ,Oxelösund (ports)
SE_1SEPIT ,Piteå
SE_1SESDL ,Sundsvall
SE_1SESFT ,Skellefteå
SE_1SESLI ,Slite (ports)
SE_1SESOE ,Södertälje
SE_1SESOL ,Sölvesborg
SE_1SESOO ,Söderhamn
SE_1SESOR ,Söråker
SE_1SESSR ,Skutskär
SE_1SESTO ,Stockholm
SE_1SESUS ,Storugns
SE_1SETRG ,Trelleborg
SE_1SEUME ,Umeå
SE_1SEUND ,Underås
SE_1SEVBY ,Visby
SE_1SEVST ,Västerås
SE_1SEVVK ,Västervik
SE_1SEYST ,Ystad
SE_2 ,Sweden: North Sea
SE_2SEALN ,Älvenäs
SE_2SEAMA ,Åmål
SE_2SEBRO ,Brofjorden
SE_2SEFAG ,Falkenberg
SE_2SEGOT ,Göteborg
SE_2SEHAD ,Halmstad
SE_2SEKHN ,Kristinehamn
SE_2SEKSD ,Karlstad
SE_2SELDK ,Lidköping
SE_2SELYS ,Lysekil
SE_2SEOTT ,Otterbäcken
SE_2SESKT ,Skattkärr
SE_2SESMD ,Strömstad
SE_2SESTE ,Stenungsund (Ports)
SE_2SETHN ,Trollhättan (Ports)
SE_2SEUDD ,Uddevalla
SE_2SEVAG ,Varberg
SE_2SEVAN ,Vänersborg
SE_9 ,Sweden: unspecified maritime coastal area
SE_9SE888 ,Sweden (unknown maritime coastal area) - other ports 
SE_9SE88C ,Sweden (confidential data aggregated by Eurostat)
SE_9SE88D ,Sweden - other ports
UK_1GB203 ,Trent River
UK_1GB221 ,River Hull & Humber
UK_1GBABD ,Aberdeen
UK_1GBBEL ,Belfast
UK_1GBBLR ,Ballylumford
UK_1GBBOS ,Boston
UK_1GBBRS ,Bristol
UK_1GBCDF ,Cardiff
UK_1GBCRN ,Cromarty Firth
UK_1GBCYN ,Cairnryan
UK_1GBCYP ,Clydeport
UK_1GBDUN ,Dundee
UK_1GBDVR ,Dover
UK_1GBFIS ,Fishguard
UK_1GBFLE ,Fleetwood
UK_1GBFOR ,Forth
UK_1GBFOY ,Fowey
UK_1GBFXT ,Felixstowe
UK_1GBGOO ,Goole
UK_1GBGSA ,Glensanda
UK_1GBGTY ,Great Yarmouth
UK_1GBHLY ,Holyhead
UK_1GBHRW ,Harwich
UK_1GBHUL ,Hull
UK_1GBHYM ,Heysham
UK_1GBIMM ,Immingham
UK_1GBIPS ,Ipswich
UK_1GBKPS ,Kilroot Power Station Jetty
UK_1GBKWL ,Kirkwall
UK_1GBLAR ,Larne
UK_1GBLDY ,Londonderry
